Contrast[0.0685]  EntRel[0.2269]  Conjunction[0.1123]  NoRel[0.0108]  Instantiation[0.0901]  Restatement[0.1359]  Asynchronous[0.0281]  Cause[0.2597]  List[0.0208]  Concession[0.0131]  Alternative[0.0072]  Synchrony[0.0157]  Pragmatic_cause[0.0109]  Cause
Contrast[0.0631]  EntRel[0.2638]  Conjunction[0.1071]  NoRel[0.0219]  Instantiation[0.2003]  Restatement[0.0600]  Asynchronous[0.0711]  Cause[0.1430]  List[0.0095]  Concession[0.0074]  Alternative[0.0131]  Synchrony[0.0124]  Pragmatic_cause[0.0273]  EntRel
Contrast[0.0750]  EntRel[0.2358]  Conjunction[0.1138]  NoRel[0.0399]  Instantiation[0.0630]  Restatement[0.0943]  Asynchronous[0.0699]  Cause[0.1019]  List[0.0615]  Concession[0.0339]  Alternative[0.0173]  Synchrony[0.0296]  Pragmatic_cause[0.0641]  EntRel
Contrast[0.0108]  EntRel[0.2851]  Conjunction[0.0871]  NoRel[0.0584]  Instantiation[0.2503]  Restatement[0.2159]  Asynchronous[0.0305]  Cause[0.0192]  List[0.0091]  Concession[0.0052]  Alternative[0.0030]  Synchrony[0.0050]  Pragmatic_cause[0.0205]  EntRel
Contrast[0.0963]  EntRel[0.1478]  Conjunction[0.1887]  NoRel[0.0012]  Instantiation[0.0380]  Restatement[0.2091]  Asynchronous[0.0106]  Cause[0.2700]  List[0.0017]  Concession[0.0127]  Alternative[0.0181]  Synchrony[0.0051]  Pragmatic_cause[0.0008]  Cause
Contrast[0.0582]  EntRel[0.1225]  Conjunction[0.1586]  NoRel[0.0119]  Instantiation[0.0645]  Restatement[0.1577]  Asynchronous[0.0098]  Cause[0.3845]  List[0.0044]  Concession[0.0104]  Alternative[0.0105]  Synchrony[0.0031]  Pragmatic_cause[0.0038]  Cause
Contrast[0.1114]  EntRel[0.1753]  Conjunction[0.3812]  NoRel[0.0065]  Instantiation[0.0086]  Restatement[0.0346]  Asynchronous[0.0177]  Cause[0.2045]  List[0.0329]  Concession[0.0024]  Alternative[0.0016]  Synchrony[0.0221]  Pragmatic_cause[0.0013]  Conjunction
Contrast[0.1216]  EntRel[0.2526]  Conjunction[0.2838]  NoRel[0.0017]  Instantiation[0.0136]  Restatement[0.0535]  Asynchronous[0.0294]  Cause[0.1676]  List[0.0329]  Concession[0.0011]  Alternative[0.0032]  Synchrony[0.0303]  Pragmatic_cause[0.0087]  Conjunction
Contrast[0.0578]  EntRel[0.3786]  Conjunction[0.1710]  NoRel[0.0095]  Instantiation[0.0688]  Restatement[0.1244]  Asynchronous[0.0382]  Cause[0.0589]  List[0.0422]  Concession[0.0161]  Alternative[0.0038]  Synchrony[0.0290]  Pragmatic_cause[0.0019]  EntRel
Contrast[0.3054]  EntRel[0.1217]  Conjunction[0.2692]  NoRel[0.0174]  Instantiation[0.0043]  Restatement[0.0756]  Asynchronous[0.0470]  Cause[0.0169]  List[0.0874]  Concession[0.0033]  Alternative[0.0021]  Synchrony[0.0487]  Pragmatic_cause[0.0009]  Contrast
Contrast[0.0982]  EntRel[0.5204]  Conjunction[0.1036]  NoRel[0.0060]  Instantiation[0.0108]  Restatement[0.1022]  Asynchronous[0.0876]  Cause[0.0308]  List[0.0139]  Concession[0.0124]  Alternative[0.0003]  Synchrony[0.0134]  Pragmatic_cause[0.0004]  EntRel
